U,WallDistance,nut
1.286922,0.015515,0.001469
1.336933,0.010778,0.001065
1.365890,0.000180,0.005990
1.356114,0.006714,0.001544
1.356054,0.006743,0.001540
1.337023,0.010766,0.001064
1.345420,0.004250,0.000617
1.331260,0.005567,0.000438
1.345540,0.004257,0.000619
1.331180,0.005551,0.000436
0.000000,0.000000,0.000000
0.338058,0.001970,0.000116
0.000000,0.000000,0.000000
0.385072,0.001968,0.000048
1.040657,0.010581,0.000550
1.044602,0.010602,0.000554
0.446372,0.011226,0.000189
1.337530,0.003990,0.002171
1.337127,0.003968,0.002174
1.361210,0.000132,0.005948
1.366000,0.000000,0.006213
1.048412,0.010564,0.000561
1.261796,0.010229,0.001461
1.359509,0.002695,0.000706
1.359468,0.002702,0.000709
1.365761,0.000130,0.005806
1.366000,0.000000,0.006213
1.359339,0.002697,0.000704
1.345540,0.004237,0.000614
0.000000,0.000000,0.000000
0.061928,0.008711,0.000054
0.000000,0.000000,0.000000
0.064987,0.008738,0.000054
0.085032,0.019942,0.000164
0.088808,0.019986,0.000165
0.098339,0.034558,0.000290
0.102422,0.034593,0.000292
0.107948,0.054369,0.000422
0.112170,0.054398,0.000425
0.115038,0.080912,0.000568
0.119422,0.080935,0.000572
0.120002,0.116370,0.000727
0.124707,0.116386,0.000732
0.123414,0.163688,0.000894
0.128616,0.163697,0.000897
0.132053,0.226811,0.001058
0.126285,0.226809,0.001056
0.136165,0.304115,0.001186
0.130044,0.301295,0.001188
0.140885,0.370561,0.001264
0.134795,0.346918,0.001271
0.145121,0.395890,0.001307
0.139258,0.354126,0.001317
0.148370,0.395997,0.001332
0.142738,0.354117,0.001346
0.150782,0.395992,0.001349
0.145339,0.354110,0.001364
0.152585,0.396001,0.001359
0.147289,0.354117,0.001377
0.153928,0.396018,0.001367
0.148739,0.354132,0.001385
0.154924,0.396041,0.001372
0.155650,0.396068,0.001376
0.156301,0.396102,0.001380
0.157092,0.396136,0.001384
0.158085,0.396169,0.001387
0.159279,0.396202,0.001391
0.160673,0.396235,0.001392
0.162284,0.396266,0.001390
0.000000,0.000000,0.000000
0.059632,0.008690,0.000053
0.082034,0.019909,0.000163
0.094956,0.034533,0.000289
0.104297,0.054348,0.000420
0.111071,0.080896,0.000565
0.115532,0.116357,0.000725
0.118260,0.163680,0.000892
0.120450,0.226806,0.001056
0.123831,0.289416,0.001190
0.128671,0.316017,0.001274
0.133438,0.316084,0.001322
0.137215,0.316072,0.001351
0.000000,0.000000,0.000000
0.058147,0.008674,0.000053
0.079879,0.019883,0.000163
0.092324,0.034515,0.000288
0.101247,0.054334,0.000418
0.107512,0.080884,0.000563
0.111261,0.116349,0.000724
0.113117,0.163675,0.000892
0.114501,0.226806,0.001055
0.117489,0.272131,0.001186
0.122488,0.281454,0.001266
0.127658,0.281527,0.001310
0.131816,0.281512,0.001335
0.000000,0.000000,0.000000
0.057535,0.008662,0.000052
0.078637,0.019864,0.000163
0.090521,0.034503,0.000288
0.098855,0.054325,0.000417
0.104372,0.080878,0.000563
0.107152,0.116345,0.000725
0.107938,0.163674,0.000892
0.108406,0.219831,0.001048
0.110997,0.249455,0.001167
0.116255,0.250060,0.001232
0.121947,0.250141,0.001261
0.126574,0.250121,0.001273
0.235808,0.003936,0.000042
0.000000,0.000000,0.000000
0.336433,0.003968,0.000049
0.000000,0.000000,0.000000
0.232449,0.011728,0.000109
0.384895,0.001968,0.000048
0.014975,0.000081,0.000002
0.233412,0.011674,0.000109
0.438961,0.011206,0.000188
0.252117,0.004729,0.000087
0.495831,0.006160,0.000180
0.673516,0.000000,0.003063
0.911454,0.001951,0.001477
1.098700,0.004641,0.001317
1.344943,0.001346,0.000177
1.366000,0.000000,0.006213
0.000000,0.000000,0.000000
0.683000,0.000000,0.003107
0.000000,0.000000,0.000002
0.000000,0.000000,0.000000
0.160009,0.562895,0.000985
0.170511,0.562888,0.001010
0.166894,0.549393,0.001055
0.172996,0.549351,0.001095
0.176036,0.549304,0.001143
0.172742,0.493372,0.001182
0.173524,0.493333,0.001227
0.169762,0.493409,0.001135
0.170611,0.442532,0.001266
0.169955,0.442498,0.001303
0.169838,0.442565,0.001220
0.000000,0.000000,0.000000
0.088992,0.009770,0.000059
0.000000,0.000000,0.000000
0.101818,0.009496,0.000061
