U:0,U:1,U:2,WallDistance,nut,U
0.037265,0.067109,-0.000751,0.303824,0.000502,0.076765
0.020193,0.050168,-0.001068,0.303766,0.000547,0.054090
-0.003104,0.031603,-0.001398,0.136667,0.000273,0.031786
-0.019405,0.017379,-0.001464,0.136546,0.000312,0.026090
-0.029171,0.012831,-0.001116,0.136466,0.000391,0.031887
-0.035481,0.012077,-0.000714,0.136424,0.000471,0.037487
-0.031964,0.002625,-0.001092,0.013094,0.000035,0.032091
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.010331,0.052031,0.000299,0.013878,0.000068,0.053048
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.028424,-0.004732,-0.001905,0.012744,0.000030,0.028878
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.024875,-0.002765,-0.002000,0.012633,0.000033,0.025108
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.022309,-0.001349,-0.001697,0.012613,0.000037,0.022414
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.021703,-0.000268,-0.001326,0.012638,0.000039,0.021745
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.023035,0.000434,-0.000932,0.012697,0.000041,0.023058
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.026149,0.000826,-0.000551,0.012794,0.000042,0.026168
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.012669,0.065834,0.000853,0.029673,0.000108,0.067047
-0.013108,0.016807,-0.001025,0.028863,0.000078,0.021338
-0.028037,-0.002670,-0.002147,0.028423,0.000070,0.028245
-0.029689,-0.003491,-0.002219,0.028236,0.000082,0.029975
-0.029953,-0.001672,-0.001863,0.028176,0.000099,0.030058
-0.030947,0.000072,-0.001429,0.028192,0.000110,0.030980
-0.033343,0.001302,-0.000980,0.028269,0.000116,0.033383
-0.037219,0.002034,-0.000532,0.028409,0.000120,0.037278
0.028854,0.085943,0.001353,0.048692,0.000158,0.090668
0.004764,0.041328,-0.000388,0.048101,0.000125,0.041603
-0.018781,0.009417,-0.001737,0.047685,0.000110,0.021082
-0.028738,-0.001029,-0.002041,0.047441,0.000121,0.028828
-0.032146,-0.000889,-0.001775,0.047311,0.000152,0.032207
-0.034695,0.001064,-0.001361,0.047257,0.000180,0.034738
-0.037893,0.002688,-0.000911,0.047260,0.000194,0.037999
-0.042130,0.003674,-0.000460,0.047314,0.000203,0.042292
0.040353,0.101230,0.001711,0.072318,0.000223,0.108990
0.022776,0.067129,0.000398,0.071872,0.000181,0.070888
-0.001477,0.031536,-0.001026,0.071512,0.000160,0.031587
-0.020532,0.008836,-0.001768,0.071260,0.000160,0.022422
-0.029801,0.002510,-0.001706,0.071098,0.000192,0.029955
-0.034583,0.003132,-0.001336,0.071004,0.000240,0.034750
-0.038712,0.004686,-0.000900,0.070964,0.000275,0.039005
-0.043233,0.005749,-0.000460,0.070970,0.000294,0.043616
0.050256,0.111848,0.001841,0.101528,0.000301,0.122634
0.038179,0.088635,0.000970,0.101179,0.000249,0.096513
0.018856,0.058388,-0.000249,0.100873,0.000221,0.061357
-0.003703,0.029169,-0.001312,0.100636,0.000209,0.029432
-0.020909,0.012027,-0.001645,0.100465,0.000227,0.024178
-0.030229,0.007478,-0.001386,0.100351,0.000283,0.031171
-0.036017,0.007725,-0.000971,0.100285,0.000346,0.036849
-0.041014,0.008441,-0.000546,0.100261,0.000390,0.041877
0.001584,0.074511,-0.000524,0.008919,0.000048,0.074529
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.004188,0.095837,-0.002492,0.020264,0.000146,0.095961
0.009044,0.105906,-0.004037,0.034712,0.000257,0.106368
0.015839,0.112501,-0.004969,0.054432,0.000368,0.113719
0.025250,0.116806,-0.005469,0.080908,0.000480,0.119629
0.037755,0.119262,-0.005447,0.116303,0.000590,0.125214
0.052801,0.119661,-0.005093,0.163547,0.000693,0.130892
0.068706,0.118137,-0.004576,0.226569,0.000770,0.136740
0.080933,0.116657,-0.003649,0.274614,0.000791,0.142029
0.085331,0.117129,-0.002417,0.254244,0.000786,0.144936
0.083587,0.119442,-0.001242,0.199618,0.000796,0.145790
0.079192,0.122738,-0.000222,0.162149,0.000796,0.146069
0.074253,0.126304,0.000672,0.137089,0.000762,0.146515
0.069684,0.129386,0.001401,0.121240,0.000700,0.146965
0.065760,0.131386,0.001925,0.111799,0.000621,0.146937
0.062453,0.131862,0.002236,0.106567,0.000536,0.145921
0.059647,0.130377,0.002349,0.103793,0.000456,0.143392
0.056392,0.125164,0.002261,0.102276,0.000377,0.137300
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-0.030838,0.000982,-0.000208,0.012937,0.000044,0.030855
-0.042515,0.002371,-0.000105,0.028624,0.000125,0.042581
-0.047436,0.004075,-0.000022,0.047421,0.000210,0.047611
