U:0,U:1,U:2,nut,yWall,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
0.0246282,0.154711,0.0911875,0.00164765,0.291568,0.528691,1.49161,1.6256,80,0,1
0.0199422,0.159191,0.102783,0.00160565,0.22444,0.528617,1.42037,1.6256,81,0,1
0.0218763,0.169986,0.123013,0.00132431,0.214874,0.554582,1.42044,1.6256,82,0,1
0.0272764,0.16449,0.109008,0.0013956,0.284247,0.554675,1.49165,1.6256,83,0,1
0.0239745,0.175875,0.135745,0.00103721,0.20961,0.574036,1.42043,1.6256,84,0,1
0.0298856,0.169637,0.119871,0.00114582,0.280261,0.574153,1.49161,1.6256,85,0,1
0.0262095,0.175382,0.140185,0.000797803,0.206744,0.588625,1.4203,1.6256,86,0,1
0.0323761,0.169534,0.123902,0.000940754,0.278081,0.588768,1.49146,1.6256,87,0,1
0.028066,0.16765,0.135661,0.000638543,0.205089,0.5996,1.41999,1.6256,88,0,1
0.0343683,0.164449,0.121719,0.000800477,0.276806,0.59976,1.49118,1.6256,89,0,1
0.0288512,0.150068,0.120118,0.000537861,0.203936,0.607905,1.41948,1.6256,90,0,1
0.0357355,0.153419,0.113031,0.000702726,0.27592,0.60806,1.49076,1.6256,91,0,1
0.0354649,0.132411,0.0938853,0.000637266,0.275254,0.621731,1.49023,1.6256,92,0,1
0.0317606,0.101818,0.0634197,0.000617265,0.27471,0.638009,1.48967,1.6256,93,0,1
0.0249886,0.0681728,0.0260498,0.000632515,0.274207,0.657354,1.48916,1.6256,94,0,1
0.0177096,0.0386057,-0.0122236,0.000659318,0.273785,0.680322,1.48872,1.6256,95,0,1
0.0113064,0.0180353,-0.0414711,0.000678422,0.273453,0.707587,1.48838,1.6256,96,0,1
0.00448864,0.00620488,-0.0536511,0.000697716,0.273204,0.73996,1.48812,1.6256,97,0,1
-0.00385694,0.000318372,-0.050502,0.00073179,0.273026,0.778413,1.48793,1.6256,98,0,1
-0.0128706,-0.00155529,-0.0396156,0.000777251,0.272907,0.824102,1.48779,1.6256,99,0,1
-0.0209919,-0.00093934,-0.0275928,0.000830065,0.272834,0.878406,1.4877,1.6256,100,0,1
0.000580051,0.20909,-0.131745,0.000207809,0.0113275,0.00718924,1.57844,1.6256,101,0,1
0,0,0,0,2.22045e-16,-4.88825e-17,1.59112,1.6256,102,0,1
0.000702137,0.228132,-0.14412,0.000503543,0.0241689,0.018195,1.57844,1.6256,103,0,1
0.000292078,0.23358,-0.148059,0.000868808,0.037109,0.0328676,1.57846,1.6256,104,0,1
-0.000219697,0.230575,-0.146672,0.00129778,0.0559817,0.052426,1.57848,1.6256,105,0,1
-0.00155753,0.221251,-0.141335,0.00174214,0.0819587,0.0784977,1.57852,1.6256,106,0,1
-0.00290327,0.206189,-0.132109,0.00211194,0.11704,0.113255,1.57858,1.6256,107,0,1
-0.00378761,0.185548,-0.118018,0.00230259,0.16408,0.159593,1.57866,1.6256,108,0,1
-0.0024547,0.159964,-0.0961462,0.00225225,0.226969,0.221376,1.57878,1.6256,109,0,1
0.00389934,0.134384,-0.0616526,0.00207555,0.304068,0.303753,1.57894,1.6256,110,0,1
0.0138707,0.120851,-0.0171635,0.00199666,0.370394,0.386094,1.57915,1.6256,111,0,1
0.0213033,0.124378,0.0241311,0.00198259,0.394669,0.447822,1.57931,1.6256,112,0,1
0.0255699,0.136096,0.0550122,0.00188176,0.387143,0.494095,1.57943,1.6256,113,0,1
0.0290205,0.147779,0.0772076,0.00170109,0.376876,0.528778,1.5795,1.6256,114,0,1
0.0321102,0.156486,0.0924406,0.00148774,0.37123,0.554776,1.57951,1.6256,115,0,1
0.0349685,0.161188,0.10158,0.00128177,0.368167,0.574271,1.57946,1.6256,116,0,1
0.0375262,0.161862,0.105413,0.00111362,0.366482,0.588901,1.57931,1.6256,117,0,1
0.0395746,0.159222,0.105058,0.00099407,0.365486,0.5999,1.57906,1.6256,118,0,1
