U,WallDistance,nut
1.548606,0.116867,0.008391
1.359120,0.164143,0.007404
1.065077,0.227302,0.006065
0.624278,0.263704,0.005512
0.259771,0.227859,0.005780
0.493892,0.164643,0.005761
0.754415,0.117288,0.005198
0.955191,0.081875,0.004397
1.113644,0.055505,0.003412
1.239408,0.036107,0.002305
1.339672,0.022397,0.001195
1.384022,0.010218,0.000413
0.000000,0.000000,0.000016
1.700692,0.010604,0.000942
0.000000,0.000000,0.000026
1.773675,0.022978,0.002849
1.766092,0.036362,0.005296
1.719873,0.055531,0.007544
1.640298,0.081724,0.009015
1.517030,0.116995,0.009312
1.328995,0.164239,0.008425
1.041258,0.227380,0.007014
0.614833,0.263751,0.006358
0.265784,0.227889,0.006620
0.491921,0.164699,0.006595
0.751965,0.117384,0.005932
0.950733,0.082031,0.004969
1.104658,0.055754,0.003811
1.223992,0.036505,0.002556
1.315510,0.023052,0.001331
1.353672,0.010631,0.000457
0.000000,0.000000,0.000016
1.666553,0.009994,0.000934
0.000000,0.000000,0.000027
1.738007,0.021981,0.002845
1.727798,0.035761,0.005365
1.680028,0.055146,0.007787
1.599500,0.081465,0.009523
1.476910,0.116817,0.010099
1.293389,0.164115,0.009392
1.016920,0.227296,0.007984
0.612604,0.263670,0.007237
0.280533,0.227779,0.007468
0.487087,0.164554,0.007434
0.743273,0.117190,0.006683
0.938857,0.081761,0.005570
1.088470,0.055361,0.004247
1.203320,0.035900,0.002840
1.290776,0.022055,0.001484
1.327987,0.010021,0.000506
0.000000,0.000000,0.000017
1.650385,0.009242,0.000912
0.000000,0.000000,0.000027
1.706200,0.020760,0.002793
1.686668,0.035018,0.005336
1.635243,0.054668,0.007867
1.553886,0.081143,0.009814
1.433431,0.116593,0.010662
1.256597,0.163957,0.010188
0.994253,0.227183,0.008867
0.616290,0.263573,0.008072
0.313056,0.227659,0.008247
0.496400,0.164391,0.008177
0.742848,0.116963,0.007344
0.933894,0.081438,0.006106
1.081565,0.054884,0.004641
1.198731,0.035159,0.003093
1.296367,0.020837,0.001606
1.348150,0.009271,0.000539
0.000000,0.000000,0.000018
1.654909,0.009991,0.000886
0.000000,0.000000,0.000026
1.687576,0.021975,0.002727
1.655383,0.035753,0.005253
1.598748,0.055138,0.007828
1.515772,0.081458,0.009911
1.396975,0.116810,0.010974
1.225959,0.164110,0.010723
0.975778,0.227292,0.009534
0.621707,0.263667,0.008743
0.358825,0.227777,0.008852
0.528817,0.164552,0.008710
0.763853,0.117190,0.007796
0.951184,0.081762,0.006453
1.099985,0.055362,0.004882
1.224339,0.035900,0.003238
1.339945,0.022055,0.001668
1.415099,0.010021,0.000552
0.000000,0.000000,0.000018
1.653506,0.010600,0.000862
0.000000,0.000000,0.000025
1.673332,0.022968,0.002661
1.633347,0.036350,0.005150
1.572537,0.055519,0.007734
1.487747,0.081712,0.009900
1.369537,0.116984,0.011118
1.202266,0.164230,0.011049
0.960821,0.227375,0.009992
0.626475,0.263746,0.009229
0.403496,0.227883,0.009280
0.568577,0.164696,0.009063
0.794770,0.117385,0.008076
0.979478,0.082034,0.006651
1.128955,0.055757,0.005001
1.256543,0.036507,0.003296
1.377367,0.023053,0.001684
1.456586,0.010631,0.000552
0.000000,0.000000,0.000018
1.643294,0.010184,0.000838
0.000000,0.000000,0.000024
1.657007,0.022306,0.002589
1.614687,0.035940,0.005037
1.551506,0.055253,0.007618
1.465328,0.081530,0.009839
1.347276,0.116855,0.011172
1.182541,0.164133,0.011249
0.947655,0.227297,0.010309
0.630094,0.263697,0.009576
0.439508,0.227847,0.009581
0.602204,0.164638,0.009307
0.821563,0.117291,0.008269
1.003792,0.081883,0.006785
1.152485,0.055515,0.005077
1.279351,0.036114,0.003320
1.396268,0.022401,0.001680
1.470084,0.010219,0.000548
0.000000,0.000000,0.000018
1.627394,0.009704,0.000816
0.000000,0.000000,0.000024
1.640140,0.021541,0.002522
1.597992,0.035475,0.004929
1.533772,0.054952,0.007501
1.446714,0.081325,0.009758
1.328717,0.116707,0.011178
1.165816,0.164020,0.011375
0.935891,0.227204,0.010534
0.632528,0.263642,0.009825
0.466459,0.227815,0.009796
0.627141,0.164582,0.009485
0.841245,0.117195,0.008416
1.021302,0.081722,0.006894
1.168608,0.055250,0.005142
1.293253,0.035674,0.003341
1.404092,0.021651,0.001678
1.471340,0.009745,0.000545
0.000000,0.000000,0.000018
1.610057,0.009357,0.000797
0.000000,0.000000,0.000023
1.624003,0.020994,0.002465
1.582918,0.035149,0.004834
1.518416,0.054743,0.007394
1.430918,0.081180,0.009675
1.313012,0.116599,0.011163
1.151528,0.163932,0.011455
0.925390,0.227126,0.010697
0.633839,0.263608,0.010005
0.485563,0.227819,0.009949
0.643978,0.164575,0.009621
0.854048,0.117162,0.008536
1.032470,0.081643,0.006990
1.178557,0.055093,0.005209
1.301088,0.035386,0.003373
1.407143,0.021126,0.001685
1.468781,0.009407,0.000544
0.000000,0.000000,0.000018
1.593030,0.009118,0.000781
0.000000,0.000000,0.000023
1.609255,0.020622,0.002416
1.569376,0.034931,0.004754
1.504958,0.054601,0.007301
1.417308,0.081079,0.009598
1.299564,0.116520,0.011138
1.139222,0.163862,0.011508
0.916100,0.227055,0.010818
0.634072,0.263590,0.010135
0.498307,0.227859,0.010060
0.654098,0.164614,0.009726
0.861029,0.117187,0.008638
1.038407,0.081637,0.007081
1.183789,0.055033,0.005280
1.304854,0.035229,0.003416
1.407693,0.020792,0.001702
1.464593,0.009184,0.000547
0.000000,0.000000,0.000018
1.577205,0.008957,0.000766
0.000000,0.000000,0.000022
1.596240,0.020371,0.002375
1.557391,0.034786,0.004688
1.493204,0.054505,0.007222
1.405586,0.081008,0.009531
1.288043,0.116460,0.011111
1.128626,0.163803,0.011545
0.907957,0.226987,0.010909
0.633485,0.263584,0.010233
0.506291,0.227930,0.010140
0.659071,0.164695,0.009809
0.863426,0.117267,0.008725
1.040234,0.081701,0.007167
1.185468,0.055059,0.005356
1.305870,0.035181,0.003472
1.406945,0.020605,0.001730
1.460285,0.009050,0.000554
0.000000,0.000000,0.000018
1.563053,0.008849,0.000753
0.000000,0.000000,0.000022
1.584868,0.020203,0.002340
1.546931,0.034688,0.004633
1.483049,0.054440,0.007157
1.395543,0.080957,0.009473
1.278215,0.116411,0.011085
1.119540,0.163749,0.011570
0.900872,0.226918,0.010981
0.632362,0.263588,0.010308
0.510877,0.228030,0.010201
0.660361,0.164817,0.009875
0.862408,0.117402,0.008801
1.038835,0.081837,0.007248
1.184279,0.055175,0.005438
1.304637,0.035244,0.003542
1.405010,0.020552,0.001772
1.456425,0.008997,0.000567
0.000000,0.000000,0.000018
1.550736,0.008776,0.000743
0.000000,0.000000,0.000022
1.575030,0.020091,0.002313
1.537934,0.034622,0.004588
1.474354,0.054393,0.007102
1.386993,0.080917,0.009424
1.269866,0.116370,0.011061
1.111773,0.163697,0.011589
0.894745,0.226846,0.011038
0.630947,0.263599,0.010367
0.513155,0.228155,0.010248
0.659207,0.164976,0.009929
0.858947,0.117590,0.008866
1.034884,0.082049,0.007325
1.180671,0.055397,0.005523
1.301358,0.035445,0.003623
1.401521,0.020665,0.001831
1.452844,0.009058,0.000590
0.000000,0.000000,0.000019
1.540106,0.008720,0.000735
0.000000,0.000000,0.000022
1.566609,0.020008,0.002290
1.530266,0.034574,0.004551
1.466964,0.054358,0.007057
1.379726,0.080885,0.009383
1.262767,0.116333,0.011040
1.105124,0.163648,0.011602
0.889457,0.226772,0.011083
0.629438,0.263615,0.010414
0.513937,0.228299,0.010286
0.656481,0.165165,0.009973
0.853756,0.117826,0.008923
1.028955,0.082335,0.007396
1.174987,0.055738,0.005609
1.295917,0.035836,0.003714
1.395676,0.021058,0.001908
1.448710,0.009372,0.000631
0.000000,0.000000,0.000021
1.530836,0.008657,0.000728
0.000000,0.000000,0.000021
1.559432,0.019931,0.002271
1.523727,0.034528,0.004520
1.460649,0.054324,0.007019
1.373504,0.080854,0.009347
1.256665,0.116297,0.011021
1.099388,0.163599,0.011612
0.884878,0.226699,0.011121
0.627953,0.263632,0.010453
0.513791,0.228448,0.010317
0.652794,0.165364,0.010011
0.847445,0.118082,0.008974
1.021569,0.082662,0.007463
1.167462,0.056163,0.005695
1.288158,0.036401,0.003815
1.387691,0.021822,0.002012
1.444783,0.010119,0.000700
0.000000,0.000000,0.000027
1.522226,0.008619,0.000721
