U:0,U:1,U:2,WallDistance,nut,U
0.005685,0.168561,0.003741,0.011551,0.000103,0.168698
0.010835,0.174975,0.002977,0.025858,0.000264,0.175335
0.011332,0.190864,0.002572,0.024351,0.000274,0.191217
0.020546,0.200961,0.001254,0.037304,0.000477,0.202012
0.019539,0.188529,0.001922,0.038382,0.000457,0.189548
0.032449,0.207161,0.000157,0.056150,0.000696,0.209687
0.030788,0.196212,0.000993,0.056897,0.000670,0.198615
0.048384,0.210609,-0.000852,0.082105,0.000931,0.216097
0.045736,0.200261,0.000105,0.082628,0.000902,0.205417
0.068672,0.211149,-0.001752,0.117179,0.001175,0.222042
0.064568,0.201020,-0.000728,0.117554,0.001147,0.211136
0.092850,0.208361,-0.002508,0.164228,0.001420,0.228127
0.087350,0.198310,-0.001460,0.164507,0.001396,0.216700
0.119889,0.202140,-0.003071,0.227146,0.001641,0.235039
0.113202,0.192009,-0.002018,0.227363,0.001626,0.222904
0.145161,0.194562,-0.003266,0.304297,0.001786,0.242769
0.137944,0.184014,-0.002263,0.304478,0.001790,0.229989
0.163393,0.188922,-0.003118,0.381484,0.001846,0.249797
