U:0,U:1,U:2,nut,yWall,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
0.0625305,0.144939,-0.0715668,0.00121774,0.586817,0.638233,1.82037,0.8128,120,0,1
0.0649855,0.135968,-0.063388,0.00115944,0.596354,0.657499,1.82007,0.8128,121,0,1
0.066937,0.122418,-0.0500883,0.00112879,0.604912,0.680399,1.81979,0.8128,122,0,1
0,0,0,0,2.22045e-16,1.12015,1.2192,0.8128,123,0,1
0,0,0,0,2.22045e-16,1.02861,1.2192,0.8128,124,0,1
-0.0432516,0.000197657,-0.00697952,7.93571e-05,0.0247562,1.111,1.24109,0.8128,125,0,1
-0.0394796,-0.000170733,-0.0048511,7.86599e-05,0.0248193,1.01977,1.24109,0.8128,126,0,1
-0.0510399,0.000588429,-0.00759308,0.000217922,0.0556163,1.111,1.27212,0.8128,127,0,1
-0.0469482,-6.004e-06,-0.00472528,0.000221441,0.0557645,1.01976,1.27213,0.8128,128,0,1
0,0,0,0,2.22045e-16,0.00888962,-1.2192,0.8128,129,0,1
0,0,0,0,2.22045e-16,-1.80333e-16,-1.2192,0.8128,130,0,1
0.0121154,-0.0157618,0.263949,9.04693e-05,0.00953196,0.00663986,-1.19961,0.8128,131,0,1
0,0,0,0,2.22045e-16,-1.7764e-16,-1.19496,0.8128,132,0,1
0,0,0,0,2.22045e-16,0.0202035,-1.2192,0.8128,133,0,1
0.0222831,-0.0116571,0.293005,0.000177036,0.0152146,0.0178694,-1.19803,0.8128,134,0,1
0,0,0,0,2.22045e-16,0.0357828,-1.2192,0.8128,135,0,1
0.0304249,-0.00663739,0.305065,0.00024837,0.0212778,0.0327085,-1.19754,0.8128,136,0,1
0,0,0,0,2.22045e-16,0.0564788,-1.2192,0.8128,137,0,1
0.0321956,-0.000586224,0.310741,0.00029728,0.0242956,0.0523812,-1.1974,0.8128,138,0,1
0,0,0,0,2.22045e-16,0.083976,-1.2192,0.8128,139,0,1
0.0234065,0.00366163,0.311078,0.000314173,0.0244385,0.0785291,-1.19735,0.8128,140,0,1
0,0,0,0,2.22045e-16,0.120595,-1.2192,0.8128,141,0,1
0.00548746,0.00568691,0.302795,0.000290872,0.0246095,0.113348,-1.19734,0.8128,142,0,1
0,0,0,0,2.22045e-16,0.169153,-1.2192,0.8128,143,0,1
-0.0203516,0.00679558,0.27972,0.000236752,0.0248012,0.159754,-1.19734,0.8128,144,0,1
0,0,0,0,2.22045e-16,0.23142,-1.2192,0.8128,145,0,1
-0.0484689,0.00694905,0.230121,0.000173992,0.0247298,0.221628,-1.19734,0.8128,146,0,1
0,0,0,0,2.22045e-16,0.304125,-1.2192,0.8128,147,0,1
-0.0665929,0.00579563,0.142416,0.000120629,0.0245691,0.304134,-1.19735,0.8128,148,0,1
0,0,0,0,2.22045e-16,0.376831,-1.2192,0.8128,149,0,1
-0.0566256,0.00464171,0.0274456,8.98083e-05,0.0247361,0.386644,-1.19734,0.8128,150,0,1
0,0,0,0,2.22045e-16,0.439099,-1.2192,0.8128,151,0,1
-0.0455649,0.00402688,-0.0674878,8.77423e-05,0.0248117,0.448527,-1.19734,0.8128,152,0,1
0,0,0,0,2.22045e-16,0.487664,-1.2192,0.8128,153,0,1
-0.0478105,0.00410166,-0.128507,0.000102897,0.0246234,0.494953,-1.19734,0.8128,154,0,1
0,0,0,0,2.22045e-16,0.524303,-1.2192,0.8128,155,0,1
-0.0454039,0.00418797,-0.175,0.000119554,0.0244575,0.529812,-1.19735,0.8128,156,0,1
0,0,0,0,2.22045e-16,0.551852,-1.2192,0.8128,157,0,1
-0.0417794,0.00260886,-0.207794,0.000126919,0.0243243,0.556041,-1.19739,0.8128,158,0,1
0,0,0,0,2.22045e-16,0.572659,-1.2192,0.8128,159,0,1
-0.0344408,-0.000453558,-0.226997,0.000116314,0.0214925,0.575864,-1.19751,0.8128,160,0,1
0,0,0,0,2.22045e-16,0.588437,-1.2192,0.8128,161,0,1
-0.0236381,-0.00351274,-0.230562,8.60406e-05,0.0155365,0.590958,-1.19797,0.8128,162,0,1
0,0,0,0,2.22045e-16,0.600072,-1.2192,0.8128,163,0,1
-0.0124775,-0.0059724,-0.20496,4.23972e-05,0.00804996,0.602641,-1.19945,0.8128,164,0,1
0,0,0,0,2.22045e-16,0.6096,-1.2192,0.8128,165,0,1
0,0,0,0,2.22045e-16,0.6096,-1.19466,0.8128,166,0,1
0.00719655,-0.0285571,0.285221,0.000132457,0.00884437,0.00700285,-1.16768,0.8128,167,0,1
0,0,0,0,2.22045e-16,-1.74115e-16,-1.16316,0.8128,168,0,1
0.0119188,-0.019096,0.31205,0.00028795,0.0202162,0.0180074,-1.1671,0.8128,169,0,1
0.0133588,-0.00871315,0.322165,0.000425107,0.0333039,0.03274,-1.16667,0.8128,170,0,1
0.0102368,0.00178386,0.324809,0.00051679,0.0461386,0.0523747,-1.16648,0.8128,171,0,1
-0.000667858,0.00923212,0.321961,0.000541119,0.0535818,0.0785158,-1.16641,0.8128,172,0,1
-0.018788,0.0125489,0.310946,0.000499193,0.0554427,0.11334,-1.16639,0.8128,173,0,1
-0.0426155,0.0134373,0.285005,0.000413277,0.0557052,0.159755,-1.16638,0.8128,174,0,1
-0.0654235,0.0128557,0.233539,0.000310381,0.0554772,0.221639,-1.16638,0.8128,175,0,1
-0.0764702,0.0102584,0.144215,0.000232297,0.0551409,0.304159,-1.16638,0.8128,176,0,1
-0.0599556,0.00737915,0.0272034,0.000206479,0.0554915,0.386689,-1.16638,0.8128,177,0,1
-0.0434845,0.00591735,-0.0690173,0.00021327,0.0557287,0.448596,-1.16638,0.8128,178,0,1
-0.040935,0.00597956,-0.130678,0.000229946,0.0554733,0.495054,-1.16638,0.8128,179,0,1
-0.034984,0.00610104,-0.177906,0.000245679,0.0538527,0.529954,-1.1664,0.8128,180,0,1
-0.0296219,0.00405224,-0.212875,0.000242698,0.0466008,0.556226,-1.16646,0.8128,181,0,1
-0.023223,-0.000112621,-0.236152,0.000207563,0.0338303,0.576077,-1.16662,0.8128,182,0,1
-0.0161688,-0.00477911,-0.2461,0.000141611,0.0206993,0.591148,-1.167,0.8128,183,0,1
-0.00815715,-0.00876247,-0.227292,6.0488e-05,0.00905294,0.602448,-1.16751,0.8128,184,0,1
0,0,0,0,2.22045e-16,0.6096,-1.16294,0.8128,185,0,1
0.000914751,-0.0355969,0.295891,0.000183986,0.00913724,0.00713571,-1.1285,0.8128,186,0,1
0,0,0,0,2.22045e-16,-1.69646e-16,-1.12287,0.8128,187,0,1
0.000295214,-0.0222436,0.321213,0.00039628,0.0206421,0.0181068,-1.12845,0.8128,188,0,1
