U:0,U:1,U:2,grad(T):0,grad(T):1,grad(T):2,nWall:0,nWall:1,nWall:2,nut,yWall,Points:0,Points:1,Points:2,Point ID,Block Number
0.113639,0.157005,-0.00525163,0.0589742,0.20468,0.440848,0,1.10943e-16,-1.10933e-16,0.00113135,0.282455,0.303718,1.35507,1.2192,52,1
0.121152,0.155821,-0.0039794,-0.0786553,0.213592,0.44699,0.25,-0.75,0,0.00113328,0.29895,0.386103,1.39916,1.2192,53,1
0.120952,0.157322,-0.00389616,-0.0804117,0.207392,0.445241,0.75,-0.25,0,0.0011258,0.272253,0.386051,1.35518,1.2192,54,1
0.120602,0.160198,-0.00250999,-0.123487,0.206709,0.423263,0.25,-0.75,0,0.00113667,0.221813,0.447773,1.35527,1.2192,55,1
0.122767,0.158024,-0.00275401,-0.127074,0.216733,0.427614,0,-1,0,0.00113823,0.252676,0.447834,1.39924,1.2192,56,1
0.116846,0.16433,-0.0013154,-0.057087,0.197831,0.396858,0,-1,0,0.00114105,0.187819,0.494037,1.35533,1.2192,57,1
0.120986,0.161284,-0.00170574,-0.0961858,0.212212,0.403635,0,-1,0,0.00114401,0.22268,0.494106,1.39929,1.2192,58,1
0.112214,0.16875,-0.000299355,0.276811,0.140422,0.376076,0,-1,0,0.00110956,0.165931,0.528709,1.35537,1.2192,59,1
0.118082,0.16474,-0.000862139,0.0960119,0.174522,0.384203,0,-1,0,0.00112701,0.204453,0.528789,1.39932,1.2192,60,1
0.107796,0.172585,0.000548302,1.16287,-0.0535067,0.363959,0,-1,0,0.00104535,0.152829,0.554691,1.35538,1.2192,61,1
0.115064,0.167746,-0.000172718,0.597308,0.0503883,0.372528,0,-1,0,0.0010843,0.193919,0.554786,1.39931,1.2192,62,1
0.103908,0.175206,0.00118963,2.93618,-0.510892,0.359464,0,-1,0,0.000963424,0.145404,0.574166,1.35535,1.2192,63,1
0.112278,0.169898,0.000369783,1.56483,-0.225707,0.368079,0,-1,0,0.00102559,0.188097,0.574278,1.39928,1.2192,64,1
